Gender,Year,Time
0,1897,10510
0,1898,9720
0,1899,10478
0,1900,9584
0,1901,8963
0,1902,9792
0,1903,9689
0,1904,9484
0,1905,9505
0,1906,9945
0,1907,8664
0,1908,8743
0,1909,10416
0,1910,8932
0,1911,8499
0,1912,8478
0,1913,8714
0,1914,8714
0,1915,9101
0,1916,8836
0,1917,8917
0,1919,8953
0,1920,8971
0,1921,8337
0,1922,8290
0,1923,8627
0,1924,8980
0,1925,9180
0,1926,8740
0,1927,9622
0,1928,9427
0,1929,9188
0,1930,9288
0,1931,10005
0,1932,9216
0,1933,9061
0,1934,9173
0,1935,9127
0,1936,9220
0,1937,9200
0,1938,9334
0,1939,8931
0,1940,8908
0,1941,9038
0,1942,8811
0,1943,8905
0,1944,9110
0,1945,9040
0,1946,8967
0,1947,8739
0,1948,9062
0,1949,9110
0,1950,9159
0,1951,8865
0,1952,9113
0,1953,8331
0,1954,8439
0,1955,8302
0,1956,8054
0,1957,8405
0,1958,8754
0,1959,8562
0,1960,8454
0,1961,8619
0,1962,8628
0,1963,8338
0,1964,8399
0,1965,8193
0,1966,8231
0,1967,8145
0,1968,8537
0,1969,8029
0,1970,7830
0,1971,8325
0,1972,8139
0,1973,8163
0,1974,8019
0,1975,7795
0,1976,8419
0,1977,8086
0,1978,7813
0,1979,7767
0,1980,7931
0,1981,7766
0,1982,7732
0,1983,7740
0,1984,7834
0,1985,8045
0,1986,7671
0,1987,7910
0,1988,7723
0,1989,7746
0,1990,7699
0,1991,7866
0,1992,7694
0,1993,7773
0,1994,7635
0,1995,7762
0,1996,7755
0,1997,7834
0,1998,7654
0,1999,7792
0,2000,7787
0,2001,7783
0,2002,7742
0,2003,7811
0,2004,7837
0,2005,7904
0,2006,7634
0,2007,8053
0,2008,7665
0,2009,7722
0,2010,7552
0,2011,7382
0,2012,7960
0,2013,7822
0,2014,7717
0,2015,7757
0,2016,7965
0,2017,7777
1,1966,12100
1,1967,12437
1,1968,12600
1,1969,12166
1,1970,11107
1,1971,11310
1,1972,11426
1,1973,11159
1,1974,10031
1,1975,9744
1,1976,10030
1,1977,10113
1,1978,9892
1,1979,9315
1,1980,9268
1,1981,8806
1,1982,8973
1,1983,8563
1,1984,8968
1,1985,9246
1,1986,8695
1,1987,8721
1,1988,8670
1,1989,8673
1,1990,8724
1,1991,8658
1,1992,8623
1,1993,8727
1,1994,8505
1,1995,8711
1,1996,8832
1,1997,8783
1,1998,8601
1,1999,8605
1,2000,8771
1,2001,8633
1,2002,8443
1,2003,8719
1,2004,8667
1,2005,8712
1,2006,8618
1,2007,8958
1,2008,8725
1,2009,9136
1,2010,8771
1,2011,8556
1,2012,9110
1,2013,8785
1,2014,8337
1,2014,8399
1,2015,8695
1,2016,8959
1,2017,8512
