day,daily_total,venue
2015-09-18,2,beacon theatre
2015-09-19,3,beacon theatre
2015-09-21,2,beacon theatre
2015-09-22,4,beacon theatre
2015-09-23,2,beacon theatre
2015-09-24,4,beacon theatre
2015-09-25,2,beacon theatre
2015-09-26,1,beacon theatre
2015-09-29,1,beacon theatre
2015-09-30,3,beacon theatre
2015-10-01,2,beacon theatre
2015-10-02,2,beacon theatre
2015-10-03,1,beacon theatre
2015-10-04,1,beacon theatre
2015-10-06,2,beacon theatre
2015-10-07,3,beacon theatre
2015-10-09,2,beacon theatre
2015-10-10,2,beacon theatre
2015-10-12,1,beacon theatre
2015-10-13,2,beacon theatre
2015-10-14,2,beacon theatre
2015-10-15,1,beacon theatre
2015-10-16,4,beacon theatre
2015-10-17,3,beacon theatre
2015-10-18,2,beacon theatre
2015-10-19,2,beacon theatre
2015-10-20,2,beacon theatre
2015-10-21,3,beacon theatre
2015-10-22,2,beacon theatre
2015-10-24,2,beacon theatre
2015-10-26,1,beacon theatre
2015-11-02,3,beacon theatre
2015-11-03,3,beacon theatre
2015-11-04,3,beacon theatre
2015-11-05,2,beacon theatre
2015-11-07,2,beacon theatre
2015-11-09,1,beacon theatre
2015-11-10,4,beacon theatre
2015-11-15,1,beacon theatre
2015-11-17,1,beacon theatre
2015-11-20,1,beacon theatre
2015-11-21,2,beacon theatre
2015-11-24,2,beacon theatre
2015-11-25,2,beacon theatre
2015-11-26,1,beacon theatre
2015-11-27,3,beacon theatre
2015-11-28,2,beacon theatre
2015-12-01,2,beacon theatre
2015-12-02,1,beacon theatre
2015-12-03,2,beacon theatre
2015-12-04,3,beacon theatre
2015-12-05,2,beacon theatre
2015-12-08,1,beacon theatre
2015-12-09,1,beacon theatre
2015-12-11,1,beacon theatre
2015-12-12,1,beacon theatre
2015-12-13,1,beacon theatre
2015-12-14,1,beacon theatre
2015-12-15,1,beacon theatre
2015-12-16,1,beacon theatre
2015-12-17,1,beacon theatre
2015-12-18,1,beacon theatre
2015-12-19,1,beacon theatre
2015-12-30,2,beacon theatre
2015-12-31,3,beacon theatre
2016-01-06,2,beacon theatre
2016-01-07,1,beacon theatre
2016-01-20,2,beacon theatre
2016-01-21,2,beacon theatre
2016-01-22,1,beacon theatre
2016-01-23,1,beacon theatre
2016-01-27,3,beacon theatre
2016-01-29,1,beacon theatre
2016-02-03,1,beacon theatre
2016-02-04,1,beacon theatre
2016-02-13,2,beacon theatre
2016-02-14,1,beacon theatre
2016-02-18,1,beacon theatre
2016-02-20,3,beacon theatre
2016-02-25,1,beacon theatre
2016-02-26,1,beacon theatre
2016-02-27,1,beacon theatre
2016-03-02,1,beacon theatre
2016-03-07,2,beacon theatre
2016-03-09,2,beacon theatre
2016-03-17,1,beacon theatre
2016-03-24,1,beacon theatre
2016-03-25,2,beacon theatre
2016-03-28,1,beacon theatre
2016-03-29,1,beacon theatre
2016-03-30,1,beacon theatre
2016-04-01,1,beacon theatre
2016-04-02,1,beacon theatre
2016-04-04,1,beacon theatre
2016-04-14,1,beacon theatre
2016-04-15,2,beacon theatre
2016-04-16,1,beacon theatre
2016-04-17,2,beacon theatre
2016-04-21,1,beacon theatre
2016-04-24,1,beacon theatre
2016-04-27,1,beacon theatre
2016-04-28,1,beacon theatre
2016-04-29,1,beacon theatre
2016-04-30,1,beacon theatre
2016-05-01,1,beacon theatre
2016-05-02,1,beacon theatre
2016-05-03,1,beacon theatre
2016-05-04,1,beacon theatre
2016-05-05,1,beacon theatre
2016-05-08,1,beacon theatre
2016-05-13,1,beacon theatre
2016-05-20,3,beacon theatre
2016-05-21,2,beacon theatre
2016-05-22,2,beacon theatre
2016-05-25,2,beacon theatre
2016-05-26,2,beacon theatre
2016-06-12,1,beacon theatre
2016-06-15,3,beacon theatre
2016-06-16,2,beacon theatre
2016-06-17,1,beacon theatre
2016-06-18,1,beacon theatre
2016-06-20,2,beacon theatre
2016-06-24,3,beacon theatre
2016-06-25,3,beacon theatre
2016-07-05,2,beacon theatre
2016-07-06,2,beacon theatre
2016-07-22,2,beacon theatre
2016-07-23,2,beacon theatre
2016-07-25,1,beacon theatre
2016-07-26,1,beacon theatre
2016-07-29,1,beacon theatre
2016-07-30,2,beacon theatre
2016-08-01,1,beacon theatre
2016-08-04,2,beacon theatre
2016-08-23,1,beacon theatre
2015-09-18,3,bowery ballroom
2015-09-20,2,bowery ballroom
2015-09-21,2,bowery ballroom
2015-09-22,2,bowery ballroom
2015-09-23,1,bowery ballroom
2015-09-24,2,bowery ballroom
2015-09-25,2,bowery ballroom
2015-09-28,1,bowery ballroom
2015-09-29,1,bowery ballroom
2015-09-30,4,bowery ballroom
2015-10-01,2,bowery ballroom
2015-10-02,2,bowery ballroom
2015-10-04,2,bowery ballroom
2015-10-05,1,bowery ballroom
2015-10-06,1,bowery ballroom
