venue,lat,lon,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Madison Square Garden,40.750667,-73.993460,157.95901639344262,104.48360655737704,78.44535519125684,48.333333333333336,50.80601092896175,79.1775956284153,150.74043715846994,203.03005464480876,201.32513661202185,235.79781420765028,246.20765027322403,259.45081967213116,262.53551912568304,256.92076502732243,303.1393442622951,305.7704918032787,279.8360655737705,267.224043715847,295.4836065573771,309.6693989071038,286.39617486338796,254.86885245901638,233.4262295081967,194.57534246575344
MoMA Museum,40.762415,-73.977439,6.5683060109289615,5.321428571428571,3.8846153846153846,3.293956043956044,2.662087912087912,1.9175824175824177,2.3846153846153846,4.019230769230769,6.541208791208791,6.978021978021978,5.5054945054945055,4.096153846153846,4.623626373626373,4.31043956043956,4.236263736263736,4.351648351648351,4.527472527472527,4.538461538461538,5.104395604395604,5.5989010989010985,5.964285714285714,6.489010989010989,6.43956043956044,6.700549450549451
Beacon Theatre,40.7805136,-73.9810847,57.23497267759563,35.19672131147541,22.530054644808743,14.96448087431694,10.136612021857923,10.849726775956285,21.363387978142075,43.032786885245905,72.63661202185793,80.65027322404372,88.65573770491804,99.36612021857924,110.30327868852459,106.16939890710383,112.40710382513662,126.56557377049181,120.03551912568307,129.51639344262296,153.92349726775956,155.34426229508196,125.53825136612022,115.8743169398907,106.06830601092896,81.75956284153006
Bowery Ballroom,40.7206,-73.9939,80.48633879781421,60.53005464480874,41.333333333333336,26.136612021857925,15.079234972677595,6.409836065573771,6.060109289617486,9.592896174863387,13.415300546448087,22.10928961748634,30.404371584699454,36.666666666666664,43.177595628415304,42.20765027322405,39.84699453551912,37.69945355191257,35.17486338797814,45.01092896174863,72.77595628415301,90.96994535519126,91.18032786885246,87.60109289617486,82.62465753424658,85.7032967032967
Carnegie Hall,40.7651258,-73.9799236,102.87158469945355,63.63387978142077,42.86612021857923,29.827868852459016,22.961748633879782,31.778688524590162,94.41256830601093,154.327868852459,187.74043715846994,191.45081967213116,171.98907103825135,180.6639344262295,203.12841530054644,198.71857923497268,195.11475409836066,192.46174863387978,175.15573770491804,183.6639344262295,212.42032967032966,216.15934065934067,177.08516483516485,175.35714285714286,179.1401098901099,150.5164835164835
Javits Center,40.7577555,-74.0026864,4.379781420765028,3.3442622950819674,1.1284153005464481,0.9453551912568307,3.081967213114754,6.887978142076503,21.784153005464482,39.385245901639344,56.34699453551912,64.81967213114754,58.01639344262295,51.13387978142077,44.02732240437158,37.34426229508197,34.52472527472528,31.71153846153846,23.12912087912088,23.1510989010989,20.247252747252748,15.395604395604396,10.582417582417582,9.791208791208792,9.263736263736265,10.313186813186814
Lincoln Center,40.7724641,-73.9834889,40.54371584699454,24.05464480874317,16.47814207650273,10.721311475409836,8.360655737704919,11.297814207650273,25.715846994535518,49.057377049180324,69.4153005464481,92.80601092896175,102.4153005464481,108.38524590163935,133.75409836065575,132.52732240437157,123.56557377049181,127.23224043715847,120.89071038251366,154.37431693989072,209.78415300546447,243.94535519125682,115.26502732240438,99.37978142076503,86.69945355191257,64.97260273972603
Playstation Theater,40.7578767,-73.9862334,117.08743169398907,77.63934426229508,54.44535519125683,38.38251366120219,29.330601092896174,35.44808743169399,103.04098360655738,146.98907103825135,131.89617486338798,131.672131147541,129.2622950819672,148.2295081967213,174.0737704918033,209.90983606557376,192.5601092896175,177.19945355191257,165.6639344262295,182.55191256830602,246.6448087431694,272.7568306010929,180.85792349726776,177.0983606557377,171.16164383561645,154.12087912087912
Radio City Music Hall,40.759976,-73.9799772,46.021929824561404,29.400881057268723,22.658590308370044,19.209251101321588,20.570484581497798,44.085903083700444,140.98898678414096,226.98898678414096,218.63215859030836,216.62555066079295,189.784140969163,172.15638766519822,175.8237885462555,170.65198237885463,169.03303964757708,152.03964757709252,129.3986784140969,127.41189427312776,143.6013215859031,137.27312775330395,98.11894273127753,89.66079295154185,86.90748898678414,68.82819383259911
Terminal 5,40.7697101,-73.9927147,16.972677595628415,11.6775956284153,8.16120218579235,6.866120218579235,5.8497267759562845,7.450819672131147,31.453551912568305,24.437158469945356,32.41803278688525,39.0655737704918,36.322404371584696,33.26502732240437,31.57650273224044,31.273224043715846,33.204918032786885,33.26775956284153,32.48087431693989,32.26229508196721,35.61538461538461,35.26373626373626,36.03846153846154,32.8489010989011,29.35989010989011,23.88186813186813
The Town Hall,40.7560562,-73.9845952,58.24561403508772,36.57488986784141,24.08149779735683,16.770925110132158,15.592511013215859,25.665198237885463,84.73788546255507,144.95154185022025,148.8237885462555,144.79515418502203,126.44052863436123,124.53083700440529,134.93832599118943,146.91629955947135,139.8281938325991,126.97136563876651,112.68942731277534,119.03083700440529,153.69383259911893,158.4229074889868,102.20925110132158,98.81718061674009,94.79074889867842,79.9647577092511
