venue,lat,lon,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Madison Square Garden,40.750667,-73.993460,9,0,0,0,0,0,0,0,0,4,6,7,14,13,5,10,5,9,22,183,110,8,3,4
MoMA Museum,40.762415,-73.977439,2,0,0,0,0,0,0,0,0,3,2,2,27,8,4,25,27,8,20,35,17,4,3,3
Beacon Theatre,40.7805136,-73.9810847,7,0,0,0,0,0,0,0,1,4,1,0,1,0,0,1,1,1,7,66,128,4,3,3
Bowery Ballroom,40.7206,-73.9939,5,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,1,0,9,49,220,20,2,3
Carnegie Hall,40.7651258,-73.9799236,3,0,0,0,0,0,0,0,0,4,1,0,2,1,6,1,1,0,10,24,49,4,2,3
Javits Center,40.7577555,-74.0026864,17,0,0,1,0,0,0,1,5,30,25,5,19,2,11,4,6,3,8,11,2,3,3,4
Lincoln Center,40.7724641,-73.9834889,8,0,0,0,0,0,0,0,2,6,5,14,9,7,15,4,4,7,27,135,16,7,4,13
Playstation Theater,40.7578767,-73.9862334,5,0,0,0,0,0,0,0,1,3,3,0,1,0,0,1,1,2,9,26,31,9,7,7
Radio City Music Hall,40.759976,-73.9799772,9,0,0,0,0,0,0,0,0,12,5,37,1,5,49,0,28,18,10,54,45,6,14,3
Terminal 5,40.7697101,-73.9927147,10,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,1,3,21,107,52,6,2,3
The Town Hall,40.7560562,-73.9845952,3,0,0,0,0,0,0,0,0,3,1,0,1,1,6,0,1,11,8,29,39,2,2,3
